employee_id,name,email,age,department,job_role,years_at_company,last_promotion_years,performance_rating,satisfaction_level,training_hours,monthly_income,attrition
EMP1000,Allison Hill,donaldgarcia@example.net,60,Sales,Marketing Manager,14,10,4,0.596850157946487,82,115194,0
EMP1001,Angie Henderson,davisjesse@example.net,32,Operations,Marketing Manager,3,3,4,0.020584494295802447,1,115735,0
EMP1002,Cristian Santos,lrobinson@example.com,65,HR,HR Manager,1,1,5,0.6174815096277165,57,85693,0
EMP1003,Abigail Shaffer,jpeterson@example.org,65,Engineering,Software Engineer,26,10,3,0.04666566321361543,59,156150,1
EMP1004,Gabrielle Davis,howardmaurice@example.com,65,Finance,Sales Representative,24,2,4,0.6803075385877797,72,108627,0
EMP1005,Monica Herrera,smiller@example.net,46,Sales,HR Manager,17,9,3,0.09767211400638387,83,102483,1
EMP1006,Shannon Ray,williamsjeremy@example.com,28,Sales,Marketing Manager,7,6,2,0.3910606075732408,49,123479,1
EMP1007,Dr. Sharon James,xreid@example.org,25,Data Science,HR Manager,5,5,3,0.18485445552552704,62,120697,0
EMP1008,Daniel Adams,lynchgeorge@example.net,31,HR,Sales Representative,13,7,3,0.5208342600258237,61,126591,0
EMP1009,Joel Nelson,gabriellecameron@example.org,42,Operations,Marketing Manager,17,4,3,0.965255307264138,59,87571,0
EMP1010,Andrew Stewart,carl95@example.org,62,Marketing,Financial Analyst,12,0,1,0.4234014807063696,0,126563,0
EMP1011,Jennifer Rocha,ithomas@example.org,29,Operations,Financial Analyst,10,2,4,0.7290071680409873,32,82666,0
EMP1012,Kimberly Burgess,zhurst@example.com,26,Data Science,Financial Analyst,25,8,5,0.8500385777897993,11,157256,0
EMP1013,Zachary Hicks,camposmichelle@example.org,44,HR,Operations Manager,4,2,3,0.27472179299006416,34,61110,0
EMP1014,Rebecca Henderson,cruzcaitlin@example.com,35,Product,Software Engineer,4,1,3,0.25606832276132396,26,53206,0
EMP1015,Tricia Valencia,frazierdanny@example.net,36,Data Science,Data Scientist,27,2,1,0.6364104112637804,51,143268,0
EMP1016,Patricia Peterson,ryan70@example.net,53,Sales,HR Manager,4,4,3,0.2030612247347694,12,115623,0
EMP1017,Deborah Mason,williamrodriguez@example.net,28,Product,Product Manager,21,1,4,0.295633685837714,5,161163,0
EMP1018,Mark Lynch,nathanielmartin@example.net,41,HR,HR Manager,10,9,2,0.3562978380769749,61,83776,1
EMP1019,Linda Burns,hickmannatasha@example.com,22,Engineering,Product Manager,29,8,4,0.8607305832563434,69,129959,0
EMP1020,David Bradley,millertodd@example.org,48,Engineering,HR Manager,4,0,2,0.33761517140362796,78,109087,0
EMP1021,Kim Martinez,karroyo@example.com,53,Operations,Software Engineer,19,0,2,0.2539154139343447,11,130733,0
EMP1022,Lisa Brandt,jenniferross@example.net,60,Data Science,Product Manager,16,4,3,0.036886947354532795,1,77854,1
EMP1023,Jessica Holmes,wrightcaleb@example.org,58,Operations,Software Engineer,0,0,3,0.1448948720912231,43,71309,0
EMP1024,Crystal Robinson,zimmermanbrian@example.org,53,Finance,Sales Representative,22,10,3,0.24215993827742588,37,156863,1
